Date,v_10,v_11,v_9_pie,v_8_Oreo,v_6_Marshmallow,v_8_Oreo,v_5_Lollipop,v_7_Nougat,v_4.4_KitKat,v_4.2_Jelly_Bean,4.3 Jelly Bean
21-05,31.96,8.59,17.82,11.38,8.16,5.71,5.32,3.41,2.66,0.11,0.06
21-06,30.63,10.3,17.22,11.49,8.29,5.47,5.62,3.37,2.64,0.12,0.06
21-07,30.65,13.73,16.73,11.2,7.59,5.24,5.05,3.22,2.16,0.08,0.03
21-08,30.56,18.36,15.95,10.22,6.69,5.05,4.34,2.9,1.9,0.07,0.03
21-09,29.4,21.29,15.66,9.85,6.37,4.94,4.02,2.78,1.88,0.08,0.03
21-10,28.82,24.28,15.43,9.45,5.78,4.89,3.52,2.68,1.65,0.08,0.03
21-11,28.75,25.81,15.21,9,5.42,4.64,3.53,2.59,1.7,0.06,0.03
21-12,28.64,26.66,14.87,8.85,5.37,4.46,3.53,2.58,1.58,0.07,0.03
22-01,26.23,32.15,13.77,8.12,4.73,4.7,2.94,2.48,1.19,0.09,0.04
22-02,25.16,33.87,13.33,7.78,4.4,4.44,2.76,2.35,1.16,0.09,0.03
22-03,24.6,33.03,13.24,7.67,4.33,4.31,2.82,2.41,1.22,0.1,0.04
22-04,23.72,33.76,12.8,7.16,3.82,4.39,2.38,2.26,0.95,0.06,0.05
22-05,22.63,32.97,12.51,7.02,3.76,4.24,2.44,2.25,1.02,0.07,0.03
